Generated by http://statistics.gov.scot,2024-03-03T15:29:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Median
Sales,Price - Median
Measure (cell values): ,Median(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://statistics.gov.scot/id/statistical-geography/S16000150,Glasgow Provan,70000,80000,92500,105000,105000,93000,90000,86000,80000,80000,86000,90000,95972.5,110000,120000,122000,130700,146000,157119.5
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,73650,80000,90000,105000,111038.5,99475,92000,95000,92000,77000,87000,111000,106500,105000,122150,125000,128050,129000,143888
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,91500,110000,110000,121000,111000,110000,112250,105000,97500,92000,97500,105000,106000,123000,130000,128000,145000,154000,165000
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,60000,75000,82000,90000,95000,85500,90000,86000,87000,85000,92500,96500,90000,89000,90000,95000,89000,95000,90000
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",75110,86000,98000,102000,105000,105000,95750,102500,103000,91997.5,104497.5,106000,106000,117500,125000,120995,133625,140000,149995
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,95177,110000,133000,150000,150000,140000,149750,150000,149500,149000,155950,160300,158875,165000,174000,182000,185000,195000,203000
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,62312.5,75000,92000,109995,112000,96000,99997.5,99250,90000,87500,92000,100000,105000,114997.5,110000,100000,105375,111000,125000
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,59995,72000,85000,95000,96000,95000,88000,90000,87250,89000,92000,93313.5,98000,105000,103500,100000,107500,110000,120000
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,85995,97950,116050,125000,125000,120000,121000,118000,123000,125000,130000,142997.5,135256,135000,145000,153000,162747.5,170000,175000
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,59995,75000,85000,95000,100000,100000,90500,89997.5,89000,90000,90500,101000,94000,104000,107762.5,110000,113000,115000,120000
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,93500,110000,122750,143500,148000,140900,146125,138500,135000,145000,145000,156000,165722.5,172000,179550.5,194000,206000,231000,245995
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",103000,117000,130000,145200,148000,149995,155000,150000,152500,155000,156000,159000,160000,160500,175500,185000,193000,205000,215000
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,75000,87500,99500,125000,129000,130000,122000,123500,130000,130000,135000,141250,145247.5,145000,160000,160000,165000,165000,180000
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,60000,74750,89500,94000,98000,92750,97997.5,96500,96500,99999.5,95000,94000,92000,110000,112000,115000,115640,125000,118003.5
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,55000,72500,75000,87000,90000,87000,86000,88760,90000,91000,88625,91000,95000,95000,100000,117000,120500,125000,136500
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,117000,135000,155000,170000,165000,161750,170000,167750,170000,167000,172000,177000,185000,185000,190000,193000,210000,230000,246821
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,60000,85100,91700,100000,105000,110000,105000,110000,120000,120000,115000,121500,125000,141000,147000,150000,152250,171066,195000
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,60500,74000,85123,96000,96000,95000,90000,88420,82000,84000,89000,97000,91500,94000,95000,97000,100000,110050,110100
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,83000,102500,125000,145000,148500,145000,145811.5,159975,150000,152750,158000,165000,158000,165000,165000,168742,180000,185140,195000
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,108000,120000,139500,150000,145000,142500,147000,150000,150000,150000,160000,165000,165000,169000,180000,185000,199000,207000,230575
